학습모델,학습방법,drug_type,mae,rmse,mape,r2
랜덤포레스트,그리드서치,해열진통소염제,288913.79549422674,379964.9005411856,8.225839125397382,0.9273387631644816
랜덤포레스트,그리드서치,진해거담제,518286.0207216495,667396.482703049,19.85441899086452,0.6889444271182005
랜덤포레스트,그리드서치,항히스타민제,195109.5260513865,252956.95786405588,14.08085322301812,0.8379413416754341
랜덤포레스트,옵튜나,해열진통소염제,266878.14348118834,326880.63661367435,8.144900726158534,0.9462232916465538
랜덤포레스트,옵튜나,진해거담제,541750.6960014799,690044.7637166508,22.786974010366123,0.6674747038923627
랜덤포레스트,옵튜나,항히스타민제,240363.14030626585,284135.70436016645,18.958908394290624,0.7955295275157653
랜덤포레스트,배깅,해열진통소염제,286372.8987968072,379161.6431676212,8.139021244907083,0.9276456545682444
랜덤포레스트,배깅,진해거담제,515212.3650713432,668650.1359389566,19.708813530671865,0.6877747413715736
랜덤포레스트,배깅,항히스타민제,194876.0350958023,253434.8103260622,14.098614249615505,0.8373284842605376
랜덤포레스트,보팅,해열진통소염제,256847.99620918752,344450.18246325105,7.239067625721364,0.9402870312086856
랜덤포레스트,보팅,진해거담제,478315.3489850273,627797.1754034213,18.344397299884733,0.7247616952230209
랜덤포레스트,보팅,항히스타민제,159598.69474155878,212955.90898117505,11.128507085071696,0.8851427615918448
랜덤포레스트,부스팅,해열진통소염제,326656.2295833333,423318.7573154486,9.376354877447495,0.9098115650447908
랜덤포레스트,부스팅,진해거담제,536923.2572916667,698231.2012171353,20.9187592065758,0.6595379865267175
랜덤포레스트,부스팅,항히스타민제,195161.97729166667,244288.22527932905,14.166060582928916,0.8488583884347115
랜덤포레스트,스태킹,해열진통소염제,246659.58095264653,329796.7176205416,6.841766803396452,0.945259534859436
랜덤포레스트,스태킹,진해거담제,435667.0670211768,585676.9892464193,16.54184468325917,0.7604553464708393
랜덤포레스트,스태킹,항히스타민제,135274.4544799591,175517.19862217185,9.631136217153848,0.9219777739427506
XGBoost,그리드서치,해열진통소염제,320521.66041666665,415372.1424105872,9.18896265948069,0.9131658497641958
XGBoost,그리드서치,진해거담제,537158.92625,684789.6037307838,21.10530728966596,0.6725202302758417
XGBoost,그리드서치,항히스타민제,208823.51364583333,256248.0061086969,15.32635394142751,0.8336970437891185
XGBoost,옵튜나,해열진통소염제,315872.355,466574.4710342891,8.69169724426177,0.8904385502631114
XGBoost,옵튜나,진해거담제,467590.8804166667,621138.4947535716,20.05833719474033,0.7305693182109516
XGBoost,옵튜나,항히스타민제,343572.09,386501.7745376766,31.02600857497664,0.6216602572538998
XGBoost,부스팅,해열진통소염제,292187.25666666665,376280.6527361588,8.373816009229957,0.928741019765258
XGBoost,부스팅,진해거담제,538242.0358333334,656371.2113949301,20.934239556839508,0.6991367042318779
XGBoost,부스팅,항히스타민제,200579.693125,249360.893390138,14.530313202671527,0.8425162780827613
XGBoost,배깅,해열진통소염제,306604.56375,400263.6899646656,8.763194364170293,0.9193678546552598
XGBoost,배깅,진해거담제,515604.845625,675847.3044734781,20.19801930641697,0.6810171517853364
XGBoost,배깅,항히스타민제,189995.58416666667,234849.91414775868,13.830661764542915,0.8603117774419213
XGBoost,보팅,해열진통소염제,299153.88910569303,391692.5643762497,8.559133003005812,0.9227841458148358
XGBoost,보팅,진해거담제,514952.8583157344,672698.3369403357,20.02507953960871,0.6839826931913287
XGBoost,보팅,항히스타민제,185432.24506904368,236605.16231233272,13.43809035205395,0.858215938894693
XGBoost,스태킹,해열진통소염제,246659.58095264644,329796.71762054146,6.841766803396452,0.945259534859436
XGBoost,스태킹,진해거담제,435667.0670211765,585676.989246419,16.541844683259164,0.7604553464708395
XGBoost,스태킹,항히스타민제,135274.4544799591,175517.19862217177,9.631136217153855,0.9219777739427506
혼합앙상블,Ridge+RandomForest+XGBoost,해열진통소염제,246790.62840156292,318599.3991169975,6.976989238340383,0.9489135493262796
혼합앙상블,Ridge+RandomForest+XGBoost,진해거담제,453645.7577605695,586241.921142806,17.14911004250349,0.7599930039701008
혼합앙상블,Ridge+RandomForest+XGBoost,항히스타민제,140387.55180451923,180954.83033367252,10.014497446213555,0.9170685343574668
혼합앙상블,Lasso+Ridge+XGBoost,해열진통소염제,246007.44275508515,314954.3847621524,6.980743888638681,0.9500757966575132
혼합앙상블,Lasso+Ridge+XGBoost,진해거담제,447542.6844674086,572079.2695787003,16.974434129602113,0.771449286927153
혼합앙상블,Lasso+Ridge+XGBoost,항히스타민제,140416.38741739077,177196.61497564957,10.388628202919149,0.9204775371014812
혼합앙상블,Ridge+Lasso+RandomForest+XGBoost,해열진통소염제,247349.67791915176,319464.07762790634,7.005242474144565,0.948635875862707
혼합앙상블,Ridge+Lasso+RandomForest+XGBoost,진해거담제,454207.3783368876,583754.0850570013,17.196282724166736,0.7620257180798076
혼합앙상블,Ridge+Lasso+RandomForest+XGBoost,항히스타민제,140583.05886791417,180814.9245614236,10.1064542674646,0.917196722208922
릿지회귀,그리드서치,해열진통소염제,220043.1168887727,278412.651679179,6.385705132750378,0.960988400330792
릿지회귀,그리드서치,진해거담제,388841.040963144,533967.0318501499,14.952645575037888,0.8008872608428178
릿지회귀,그리드서치,항히스타민제,150909.147297928,189973.28424002105,12.21375896628472,0.9085962441862482
릿지회귀,옵튜나,해열진통소염제,277470.8950941247,352564.36313705123,8.694947082136698,0.9374405891986276
릿지회귀,옵튜나,진해거담제,564456.2274913414,681451.7926870337,24.938615877785224,0.6757048629521194
릿지회귀,옵튜나,항히스타민제,355323.8741882595,393660.3711162216,31.9759636860898,0.6075156223430258
릿지회귀,배깅,해열진통소염제,219560.7250033547,278455.721132993,6.364832506740423,0.9609763294838592
릿지회귀,배깅,진해거담제,386821.8736770296,534122.7377631875,14.809895364357216,0.8007711205222625
릿지회귀,배깅,항히스타민제,148311.35764470845,188850.48097586265,12.11134551274643,0.9096735025202108
릿지회귀,보팅,해열진통소염제,219910.7380630177,278455.9717100383,6.37907547923704,0.9609762592504992
릿지회귀,보팅,진해거담제,388781.62985523377,535528.8501679153,14.923917640515835,0.7997207741509891
릿지회귀,보팅,항히스타민제,149922.282950509,189683.00251549025,12.167664746697572,0.9088753631024138
릿지회귀,부스팅,해열진통소염제,258315.4956158857,342033.5902234271,8.101783166005989,0.9411219600778068
릿지회귀,부스팅,진해거담제,359904.89380339964,496874.75747063087,14.548161404538469,0.8275893744515453
릿지회귀,부스팅,항히스타민제,226096.4498586945,299031.7794948448,20.5534628059194,0.7735284407066337
릿지회귀,스태킹,해열진통소염제,224226.5939384848,283495.07013660885,6.623246963285507,0.9595510876891842
릿지회귀,스태킹,진해거담제,353529.59390363266,485209.2468180646,13.21741480349012,0.8355899743374838
릿지회귀,스태킹,항히스타민제,150274.41893324148,185726.35062553303,13.342359549824016,0.9126373035017268
라쏘회귀,그리드서치,해열진통소염제,222639.2225872796,282515.66219152464,6.463353750581192,0.9598300876320758
라쏘회귀,그리드서치,진해거담제,400937.594696402,548249.8173699847,15.628527593198235,0.7900928892265013
라쏘회귀,그리드서치,항히스타민제,154578.58946828393,191779.42113139856,12.134542250653778,0.9068499726843268
라쏘회귀,옵튜나,해열진통소염제,221403.73942092087,280295.4845808932,6.419222760864883,0.960458965389432
라쏘회귀,옵튜나,진해거담제,393268.6806787031,539932.8895735153,15.15612600453562,0.796413148734746
라쏘회귀,옵튜나,항히스타민제,150759.46838832842,189186.30244119343,12.087240834607522,0.9093519725270266
라쏘회귀,배깅,해열진통소염제,219480.8677623732,278458.93162439,6.366050253218182,0.960975429621718
라쏘회귀,배깅,진해거담제,386570.7254852478,534469.8863523547,14.794030392877684,0.8005120620880144
라쏘회귀,배깅,항히스타민제,148121.11134151538,189147.36668707736,12.124929720419786,0.9093892805781024
라쏘회귀,보팅,해열진통소염제,219985.10484386768,278953.47738221555,6.375418099183648,0.960836690500576
라쏘회귀,보팅,진해거담제,388996.1570375785,537319.430001934,14.890103372492067,0.7983792386868676
라쏘회귀,보팅,항히스타민제,148667.97192659898,189699.66926046752,12.12451758427214,0.9088593488282016
라쏘회귀,부스팅,해열진통소염제,256832.89985834443,340896.8233936008,8.070958841084892,0.9415126783054282
라쏘회귀,부스팅,진해거담제,358791.2008835838,495723.6679479893,14.503299808717394,0.8283872824937804
라쏘회귀,부스팅,항히스타민제,226446.04327552835,299566.4674331804,20.680539428350148,0.7727178253860421
라쏘회귀,스태킹,해열진통소염제,226141.9004469649,288131.01360471937,6.624887179626357,0.958217363601695
라쏘회귀,스태킹,진해거담제,373064.9967805803,500391.7433098711,14.14479443699236,0.825140017897933
라쏘회귀,스태킹,항히스타민제,151642.46550978796,185656.79435103232,13.076632415093004,0.9127027275603136
